"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX17677107","GSM6597475: BRCA_22-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209128","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677106","GSM6597474: BRCA_22-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209127","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677105","GSM6597473: BRCA_21-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209126","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677104","GSM6597472: BRCA_21-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209125","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677103","GSM6597471: BRCA_20-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209124","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677102","GSM6597470: BRCA_20-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209123","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677101","GSM6597469: BRCA_19-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209122","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677100","GSM6597468: BRCA_19-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209121","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677099","GSM6597467: BRCA_18-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209120","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677098","GSM6597466: BRCA_18-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209119","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677097","GSM6597465: BRCA_17-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209118","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677096","GSM6597464: BRCA_17-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209117","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677095","GSM6597463: BRCA_16-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209116","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677094","GSM6597462: BRCA_16-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209115","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677093","GSM6597461: BRCA_15-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209114","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677092","GSM6597460: BRCA_15-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209113","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677091","GSM6597459: BRCA_14-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209112","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677090","GSM6597458: BRCA_14-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209111","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677089","GSM6597457: BRCA_13-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209110","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677088","GSM6597456: BRCA_13-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209109","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677087","GSM6597455: BRCA_12-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209108","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677086","GSM6597454: BRCA_12-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209107","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677085","GSM6597515: MCF7 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209106","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677084","GSM6597514: AU-565 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209105","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677083","GSM6597513: MDA-MB-157 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209104","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677082","GSM6597512: HCC1806 (1D cDNA); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209103","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677081","GSM6597511: BRCA_40-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209102","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677080","GSM6597510: BRCA_40-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209101","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677079","GSM6597509: BRCA_39-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209100","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677078","GSM6597508: BRCA_39-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209099","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677077","GSM6597507: BRCA_38-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209098","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677076","GSM6597506: BRCA_38-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209097","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677075","GSM6597505: BRCA_37-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209096","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677074","GSM6597504: BRCA_37-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209095","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677073","GSM6597503: BRCA_36-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209094","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677072","GSM6597502: BRCA_36-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209093","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677071","GSM6597453: BRCA_11-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209092","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677070","GSM6597452: BRCA_11-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209091","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677069","GSM6597451: BRCA_10-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209090","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677068","GSM6597450: BRCA_10-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209089","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677067","GSM6597449: BRCA_9-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209088","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677066","GSM6597448: BRCA_9-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209087","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677065","GSM6597447: BRCA_8-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209086","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677064","GSM6597446: BRCA_8-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209085","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677063","GSM6597445: BRCA_7-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209084","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677062","GSM6597444: BRCA_7-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209083","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677061","GSM6597443: BRCA_6-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209082","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677060","GSM6597442: BRCA_6-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209081","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677059","GSM6597441: BRCA_5-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209080","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677058","GSM6597440: BRCA_5-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209079","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677057","GSM6597439: BRCA_4-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209078","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677056","GSM6597438: BRCA_4-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209077","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677055","GSM6597501: BRCA_35-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209076","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677054","GSM6597500: BRCA_35-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209075","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677053","GSM6597499: BRCA_34-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209074","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677052","GSM6597498: BRCA_34-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209073","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677051","GSM6597497: BRCA_33-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209072","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677050","GSM6597496: BRCA_33-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209071","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677049","GSM6597495: BRCA_32-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209070","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677048","GSM6597494: BRCA_32-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209069","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677047","GSM6597493: BRCA_31-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209068","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677046","GSM6597492: BRCA_31-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209067","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677045","GSM6597491: BRCA_30-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209066","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677044","GSM6597490: BRCA_30-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209065","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677043","GSM6597489: BRCA_29-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209064","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677042","GSM6597488: BRCA_29-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209063","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677041","GSM6597487: BRCA_28-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209062","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677040","GSM6597486: BRCA_28-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209061","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677039","GSM6597437: BRCA_3-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209060","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677038","GSM6597436: BRCA_3-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209059","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677037","GSM6597435: BRCA_2-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209058","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677036","GSM6597434: BRCA_2-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209057","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677035","GSM6597433: BRCA_1-2 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209056","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677034","GSM6597432: BRCA_1-1 (TEQUILA-seq); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209055","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677033","GSM6597431: SH-SY5Y-3 (short-read); Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209054","","9077.51","1","101882328","30564698400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677032","GSM6597430: SH-SY5Y-2 (short-read); Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209053","","9521.43","1","107673907","32302172100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677031","GSM6597429: SH-SY5Y-1 (short-read); Homo sapiens; RNA-Seq","Homo sapiens","Illumina NovaSeq 6000","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209052","","7429.63","1","82875273","24862581900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677030","GSM6597428: SH-SY5Y-3 (TEQUILA-seq_48h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209051","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX17677029","GSM6597427: SH-SY5Y-2 (TEQUILA-seq_48h); Homo sapiens; RNA-Seq","Homo sapiens","MinION","GEO","SRP398751","TEQUILA-seq: a versatile and low-cost method for targeted long-read RNA sequencing","SRS15209050","","0","1","0","0","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
