"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX18276004","GSM6733239: N109; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768426","","4828.96","1","6014607","5610012013","GSM6733239","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276003","GSM6733238: N105; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768425","","3224.28","1","4326911","3735858203","GSM6733238","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276002","GSM6733237: N103; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768424","","4901.57","1","5905029","5705274608","GSM6733237","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276001","GSM6733236: T99; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768423","","4003.99","1","4386806","4639220167","GSM6733236","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18276000","GSM6733235: T98; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768422","","3966.21","1","4491696","4591899740","GSM6733235","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275999","GSM6733234: T93; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768421","","3996.62","1","5512116","4626736204","GSM6733234","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275998","GSM6733233: T90; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768420","","3727.64","1","4351273","4316406496","GSM6733233","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275997","GSM6733232: T89; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768419","","3270.33","1","4172888","3780746414","GSM6733232","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275996","GSM6733231: T88; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768418","","3818.1","1","4671574","4423899771","GSM6733231","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275995","GSM6733230: T170; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768417","","3721.73","1","4905348","4317316926","GSM6733230","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275994","GSM6733229: T157; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768416","","3457.26","1","4223249","4013711649","GSM6733229","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275993","GSM6733228: T155; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768415","","3644.27","1","4564253","4227376089","GSM6733228","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275992","GSM6733227: T151; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768414","","3401.72","1","3862605","3949216464","GSM6733227","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275991","GSM6733226: T150; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768413","","3717.34","1","4351096","4319965361","GSM6733226","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275990","GSM6733225: T148; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768412","","3705.1","1","4916057","4302844156","GSM6733225","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275989","GSM6733224: T142; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768411","","3821.73","1","5134792","4429228973","GSM6733224","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275988","GSM6733223: T141; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768410","","4262.41","1","5352956","4937184622","GSM6733223","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275987","GSM6733222: T131; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768409","","3835.92","1","4369826","4451913251","GSM6733222","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275986","GSM6733221: T129; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768408","","5360.1","1","6873214","6218460551","GSM6733221","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275985","GSM6733220: T122; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768407","","4156.61","1","4523268","4822478913","GSM6733220","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275984","GSM6733219: T112; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768406","","4744.32","1","5628146","5499566127","GSM6733219","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275983","GSM6733218: T111; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768405","","3334.66","1","4342670","3872546216","GSM6733218","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275982","GSM6733217: T110; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768404","","4949.63","1","5726907","5740653088","GSM6733217","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275981","GSM6733216: T109; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768403","","4503.9","1","4483086","5231314803","GSM6733216","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275980","GSM6733215: T105; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768402","","3415.05","1","7065086","3953885262","GSM6733215","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX18275979","GSM6733214: T103; Homo sapiens; RNA-Seq","Homo sapiens","PromethION","The Second Xiangya Hospital, Central South Univers","SRP408101","Long-read transcriptome sequencing reveals expression characteristics of osteosarcoma","SRS15768401","","5037.64","1","5888137","5840521726","GSM6733214","RNA-Seq","TRANSCRIPTOMIC","cDNA"
